都道府県,人口総数,平成22年組替人口,面積,人口密度,平均年齢,年齢中位数,"年齢（総数）総数
人口","15歳未満
人口","15～64歳
人口","65歳以上
人口","年齢別割合（総数）15歳未満
人口割合","年齢別割合（総数）15～64歳
人口割合","年齢別割合（総数）65歳以上
人口割合","年齢（男）総数
人口","年齢（男）15歳未満
人口","年齢（男）15～64歳
人口","年齢（男）65歳以上
人口","年齢別割合（男）15歳未満
人口割合","年齢別割合（男）15～64歳
人口割合","年齢別割合（男）65歳以上
人口割合","年齢（女）総数
人口","年齢（女）15歳未満
人口","年齢（女）15～64歳
人口","年齢（女）65歳以上
人口","年齢別割合（女）15歳未満
人口割合","年齢別割合（女）15～64歳
人口割合","年齢別割合（女）65歳以上
人口割合",年齢別割合（女）人口性比,国籍日本人,国籍外国人,世帯世帯総数,世帯一般世帯,世帯施設等の世帯,世帯平成22年組替世帯総数
大阪府,8839469,8865245,1905.14,4639.8,45.76811272,45.8185247,8839469,1093111,5341654,2278324,12.54561958,61.30608789,26.14829253,4256049,558854,2635813,990815,13.35220173,62.97513644,23.67266183,4583420,534257,2705841,1287509,11.79998617,59.76315966,28.43685417,92.85749506,8524530,150890,3923887,3918441,5446,3832386
兵庫県,5534800,5588133,8400.96,658.8,46.46262185,46.98036611,5534800,706871,3280212,1481646,12.92569078,59.98124976,27.09305947,2641561,361675,1602852,639761,13.88767295,61.54664922,24.56567784,2893239,345196,1677360,841885,12.05107733,58.55802232,29.39090035,91.301168,5398880,77518,2315200,2312284,2916,2255318
奈良県,1364316,1400728,3690.94,369.6,47.22172071,48.30302548,1364316,168970,796552,388614,12.4780672,58.82363367,28.69829914,643946,86393,382752,169346,13.53080936,59.94634224,26.5228484,720370,82577,413800,219268,11.53882162,57.8219648,30.63921358,89.3910074,1351535,8726,530221,529258,963,523523
和歌山県,963579,1002198,4724.69,203.9,48.70438927,50.60188493,963579,116412,546279,296239,12.1397808,56.96755759,30.89266161,453216,59450,266634,124463,13.19507177,59.18006335,27.62486489,510363,56962,279645,171776,11.20454461,55.00675672,33.78869868,88.80267574,956199,4667,392332,391465,867,393553
鳥取県,573441,588667,3507.05,163.5,48.15751971,49.90683572,573441,73685,326301,169092,12.94813716,57.33853707,29.71332577,273705,37539,163762,69909,13.84130379,60.38199181,25.7767044,299736,36146,162539,99183,12.13490539,54.56745941,33.29763519,91.31535751,567993,3384,216894,216244,650,211964
島根県,694352,717397,6708.24,103.5,49.4724584,52.04050139,694352,86056,376877,222648,12.55227318,54.97191433,32.47581249,333112,44115,191489,92523,13.44448948,58.35819667,28.19731384,361240,41941,185388,130125,11.73325799,51.86345656,36.40328546,92.21348688,687180,5371,265008,264080,928,262219
岡山県,1921525,1945276,7114.5,270.1,46.90692541,47.30842628,1921525,247890,1098140,540876,13.13737939,58.19791765,28.66470296,922226,127760,544837,230625,14.14491675,60.3214935,25.53358975,999299,120130,553303,310251,12.21225516,56.24804307,31.53970177,92.28729339,1885691,17309,772977,771242,1735,754511
広島県,2843990,2860750,8479.45,335.4,46.46399242,46.77817645,2843990,375890,1662522,774440,13.36330529,59.10449608,27.53219864,1376211,192324,833708,331636,14.1657607,61.40735438,24.42688492,1467779,183566,828814,442804,12.61462468,56.95595883,30.42941649,93.76145864,2795626,34854,1211425,1209288,2137,1184967
山口県,1404729,1451338,6112.3,229.8,49.04787032,51.12370871,1404729,170022,778430,447862,12.17648752,55.7489218,32.07459067,665008,86998,387115,185728,13.18469146,58.66792151,28.14738702,739721,83024,391315,262134,11.27318992,53.13365188,35.5931582,89.89984062,1390689,11512,598834,597426,1408,597432
徳島県,755733,785491,4146.65,182.3,49.04418146,51.13112503,755733,87030,428059,230914,11.66617292,57.38033225,30.95349483,359790,44704,211475,98168,12.61588217,59.68020048,27.70391735,395943,42326,216584,132746,10.80693261,55.29954858,33.8935188,90.86914026,747141,3871,305754,304911,843,302294
香川県,976263,995842,1876.72,520.2,47.99232381,49.02210999,976263,122324,547844,286296,12.78919018,57.27805751,29.9327523,472308,62766,274015,123355,13.64074969,59.55087192,26.80837839,503955,59558,273829,162941,11.99972599,55.17097565,32.82929837,93.72027264,961844,6928,398551,397602,949,390474
愛媛県,1385262,1431493,5676.11,244.1,48.60261177,50.49831394,1385262,169110,776111,417186,12.41259036,56.96616356,30.62124607,654380,86849,380949,173841,13.5354927,59.37123523,27.09327207,730882,82261,395162,243345,11.41296506,54.82513097,33.76190397,89.5329205,1365508,8096,591972,590629,1343,590888
高知県,728276,764456,7103.93,102.5,49.84852481,52.28074049,728276,83884,400605,237012,11.62631791,55.52383157,32.84985052,342672,42777,198022,97919,12.62908969,58.4622016,28.90870872,385604,41107,202583,139093,10.73898266,52.92371918,36.33729816,88.86629807,722728,3236,319011,318086,925,321909
福岡県,5101556,5071968,4986.4,1023.1,45.74313469,45.96178371,5101556,676045,3057855,1304764,13.41714788,60.68781328,25.89503884,2410418,345945,1488873,540362,14.56500139,62.68463864,22.75035997,2691138,330100,1568982,764402,12.39354169,58.90713066,28.69932765,89.5687252,4995297,47097,2201037,2196617,4420,2110468
佐賀県,832832,849788,2440.68,341.2,46.83763199,48.23434545,832832,116122,483019,229335,14.01633843,58.30211135,27.68155022,393073,59463,236845,94312,15.22272285,60.6330961,24.14418105,439759,56659,246174,135023,12.94009903,56.22259373,30.83730724,89.38373063,827702,3878,302109,301009,1100,295038
長崎県,1377187,1426779,4132.09,333.3,48.23691802,50.59563827,1377187,177562,784862,404686,12.98812824,57.41030349,29.60156827,645763,90930,383709,165381,14.20736852,59.95265773,25.83997375,731424,86632,401153,239305,11.91489362,55.17239957,32.91270682,88.28846196,1365241,7669,560720,558380,2340,558660
熊本県,1786170,1817426,7409.35,241.1,47.47190345,49.03833501,1786170,241167,1024400,511484,13.57119182,57.64606643,28.78274174,841046,123581,500297,212154,14.78185046,59.84184816,25.37630139,945124,117586,524103,299330,12.49560317,55.69526226,31.80913457,88.9879,1771440,8358,704730,702565,2165,688234
大分県,1166338,1196529,6340.71,183.9,48.33542841,50.19706793,1166338,146413,657169,351745,12.67286232,56.88164476,30.44549292,551932,74904,324315,146429,13.7275313,59.43666979,26.8357989,614406,71509,332854,205316,11.72895901,54.59495899,33.676082,89.83180503,1150436,8656,486535,485001,1534,482051
宮崎県,1104069,1135233,7735.31,142.7,47.88649307,50.20441715,1104069,149608,622544,322975,13.6612466,56.84674015,29.49201326,519242,76318,302970,134961,14.84067057,58.91503921,26.24429022,584827,73290,319574,188014,12.61710721,55.01568316,32.36720964,88.78557249,1096407,3693,462858,461389,1469,460505
鹿児島県,1648177,1706242,9186.94,179.4,48.13753931,50.60376445,1648177,220751,929758,479734,13.54098745,57.0318658,29.42714675,773061,113463,450303,199212,14.87107099,59.01913292,26.10979609,875116,107288,479455,280522,12.37084398,55.28356385,32.34559218,88.33811746,1631662,5847,724690,722372,2318,729386
沖縄県,1433566,1392818,2281.12,628.4,42.07073668,42.02734949,1433566,247206,892109,278337,17.43770686,62.92863129,19.63366186,704619,126229,447136,122713,18.13431828,64.23647925,17.62920247,728947,120977,444973,155624,16.76570941,61.66699465,21.56729594,96.66258315,1410487,11020,560424,559215,1209,520191
